frequency_hz,mean_psd_V2_per_Hz,mean_psd_uV2_per_Hz
1.0,9.821986794644601e-12,9.821986794644602
1.25,7.263938934236514e-12,7.2639389342365135
1.5,5.145500183215874e-12,5.145500183215874
1.75,3.589642880189139e-12,3.5896428801891394
2.0,2.9739134059547247e-12,2.9739134059547245
2.25,2.229410221150054e-12,2.229410221150054
2.5,1.9915455995933513e-12,1.9915455995933513
2.75,1.7758881086718016e-12,1.7758881086718017
3.0,1.4449947090769665e-12,1.4449947090769664
3.25,1.2624605818208277e-12,1.2624605818208277
3.5,1.3544873210567564e-12,1.3544873210567563
3.75,1.2357780535994477e-12,1.2357780535994476
4.0,1.2436725348985836e-12,1.2436725348985835
4.25,1.0066056588713788e-12,1.0066056588713788
4.5,1.0435373685533371e-12,1.0435373685533371
4.75,1.0471094896168742e-12,1.0471094896168742
5.0,9.926902007927407e-13,0.9926902007927407
5.25,1.018867252280408e-12,1.018867252280408
5.5,9.210851550634636e-13,0.9210851550634637
5.75,9.233410445012098e-13,0.9233410445012098
6.0,9.124435317548907e-13,0.9124435317548907
6.25,9.33381658689707e-13,0.933381658689707
6.5,9.570288428529317e-13,0.9570288428529317
6.75,8.828418590120941e-13,0.8828418590120941
7.0,8.67683781476974e-13,0.867683781476974
7.25,8.916516160505258e-13,0.8916516160505258
7.5,9.521508691566395e-13,0.9521508691566395
7.75,9.153504484595377e-13,0.9153504484595376
8.0,1.133486001973572e-12,1.133486001973572
8.25,1.123899275091601e-12,1.123899275091601
8.5,1.1930739865673676e-12,1.1930739865673676
8.75,1.1896553390295785e-12,1.1896553390295785
9.0,1.3543220800171622e-12,1.3543220800171623
9.25,1.5004936541805556e-12,1.5004936541805556
9.5,1.8951829903290022e-12,1.8951829903290023
9.75,2.360427713230107e-12,2.360427713230107
10.0,3.156319217999039e-12,3.156319217999039
10.25,3.691367310410979e-12,3.691367310410979
10.5,3.510644300843105e-12,3.510644300843105
10.75,3.122227550423722e-12,3.122227550423722
11.0,2.6658747006625027e-12,2.6658747006625028
11.25,2.2842470531136197e-12,2.28424705311362
11.5,1.6423762846485562e-12,1.6423762846485561
11.75,1.5898783951200308e-12,1.5898783951200308
12.0,1.1101379242440863e-12,1.1101379242440863
12.25,8.910563687055291e-13,0.8910563687055291
12.5,7.411793243851013e-13,0.7411793243851013
12.75,6.91249068404193e-13,0.6912490684041931
13.0,6.667998056641549e-13,0.6667998056641549
13.25,5.956571914372523e-13,0.5956571914372523
13.5,5.591003919965027e-13,0.5591003919965027
13.75,5.617802530192261e-13,0.5617802530192261
14.0,5.087312323889271e-13,0.5087312323889271
14.25,4.94687111290769e-13,0.49468711129076903
14.5,4.811043937094594e-13,0.4811043937094594
14.75,4.823157624436986e-13,0.4823157624436986
15.0,4.3306724171727227e-13,0.4330672417172723
15.25,4.727751802286178e-13,0.4727751802286178
15.5,4.788385925976737e-13,0.4788385925976737
15.75,4.05472648064676e-13,0.40547264806467603
16.0,3.9209965376029023e-13,0.3920996537602902
16.25,3.894604946027984e-13,0.3894604946027984
16.5,3.976088281457376e-13,0.3976088281457376
16.75,4.3852933989265927e-13,0.4385293398926593
17.0,4.109860988931443e-13,0.4109860988931443
17.25,4.719692019452913e-13,0.4719692019452913
17.5,4.223819220460443e-13,0.4223819220460443
17.75,4.3140609811461496e-13,0.43140609811461494
18.0,4.412090169643376e-13,0.4412090169643376
18.25,4.0631143298831125e-13,0.40631143298831124
18.5,4.1260488917612815e-13,0.41260488917612814
18.75,4.2721308031580806e-13,0.42721308031580807
